,epoch,batch,loss,acc,f1,recall,roll_730_acc,roll_730_loss,roll_180_acc,roll_180_loss
1859,9,68,0.3633622833784076,0.8975,0.8975,0.8975,0.8499212328767098,0.37486680748519957,0.8538055555555567,0.3672609034706621
1860,9,69,0.3635524055787495,0.835,0.835,0.835,0.8499178082191756,0.37481812632698863,0.8536944444444456,0.3672557110781801
1861,9,70,0.3638516844997943,0.865,0.865,0.865,0.8499726027397235,0.3747694786924256,0.8537083333333345,0.36725174370013447
1862,9,71,0.3639951708416144,0.8475,0.8475,0.8475,0.8499726027397235,0.3747211310698938,0.8535833333333345,0.3672500083679563
1863,9,72,0.36362076662991144,0.865,0.865,0.865,0.8500171232876688,0.37467197872164454,0.8537222222222234,0.3672436668269156
1864,9,73,0.3639063581421569,0.8625,0.8625,0.8625,0.8500650684931482,0.3746227342441485,0.853791666666668,0.36723624499616747
1865,9,74,0.3642773520946503,0.85,0.85,0.85,0.850102739726025,0.3745737586624342,0.853791666666668,0.3672299017482657
1866,9,75,0.3641388820190179,0.845,0.845,0.845,0.850089041095888,0.37452474331049557,0.853652777777779,0.3672224897899972
1867,9,76,0.3636478545603814,0.87,0.87,0.87,0.8501335616438332,0.3744750360069114,0.8539444444444457,0.3672092921884452
1868,9,77,0.3637509708985304,0.8425,0.8425,0.8425,0.8501541095890387,0.3744251693816532,0.8539027777777791,0.36719395552100026
1869,9,78,0.3638861107675335,0.8575,0.8575,0.8575,0.8501849315068468,0.3743750786946042,0.8539861111111123,0.36717622756801815
1870,9,79,0.36372609362006186,0.86,0.8599999999999999,0.86,0.8502226027397236,0.374324747432613,0.854041666666668,0.36715565227045865
1871,9,80,0.36366656128271124,0.8625,0.8625,0.8625,0.850256849315066,0.3742744286736763,0.854069444444446,0.3671353455940369
1872,9,81,0.36367542969017497,0.87,0.87,0.87,0.8503219178082168,0.3742238407591618,0.8542777777777792,0.3671133737860164
1873,9,82,0.36401949266353284,0.8625,0.8625,0.8625,0.8503253424657509,0.37417353901403333,0.8542777777777792,0.3670942831162013
1874,9,83,0.3637691725577627,0.8775,0.8775,0.8775,0.8504280821917783,0.37412214791452236,0.8542222222222238,0.3670742362196703
1875,9,84,0.3633396039990818,0.875,0.875,0.875,0.8505034246575317,0.3740697065536659,0.8541527777777793,0.3670540275572636
1876,9,85,0.3639832638030828,0.825,0.825,0.825,0.8504726027397236,0.37401807437378837,0.8540000000000015,0.3670372386977542
1877,9,86,0.363629347291486,0.86,0.8599999999999999,0.86,0.8505376712328743,0.37396561901254793,0.854083333333335,0.367016971851668
1878,9,87,0.36368446492336015,0.8625,0.8625,0.8625,0.8505787671232852,0.3739128192338808,0.8541388888888907,0.366996596632558
1879,9,88,0.3634907934772834,0.8675,0.8675,0.8675,0.8506472602739701,0.3738592412535662,0.8541388888888907,0.3669758471153357
1880,9,89,0.3634147475163142,0.8625,0.8625,0.8625,0.850702054794518,0.3738052362865838,0.8541666666666685,0.3669535189848729
1881,9,90,0.3634687164327601,0.8625,0.8625,0.8625,0.8507328767123261,0.37375102228145046,0.8543472222222241,0.36692845286601805
1882,9,91,0.3636890753455784,0.85,0.85,0.85,0.8507157534246549,0.3736973818730705,0.8544305555555574,0.36690231027867715
1883,9,92,0.363899370995901,0.8675,0.8675,0.8675,0.8507636986301343,0.37364383199005496,0.8544027777777796,0.3668773542755494
1884,9,93,0.3641825422961661,0.8575,0.8575,0.8575,0.8507363013698602,0.3735913712485406,0.8545555555555573,0.36685114279552844
1885,9,94,0.36360365371955067,0.8725,0.8725,0.8725,0.8507945205479424,0.3735379569566236,0.8545277777777796,0.3668225972181952
1886,9,95,0.36347294816126424,0.87,0.87,0.87,0.8508356164383533,0.37348413747720877,0.854597222222224,0.3667935038270247
1887,9,96,0.3630223203565657,0.875,0.875,0.875,0.8508630136986272,0.3734296628929421,0.854861111111113,0.3667590349098341
1888,9,97,0.3632843448799484,0.8575,0.8575,0.8575,0.8509520547945175,0.3733745513370754,0.8547777777777796,0.3667265545743775
1889,9,98,0.36318490481135823,0.8625,0.8625,0.8625,0.850945205479449,0.3733195921589726,0.8549027777777797,0.36669279186941967
1890,9,99,0.36277894884347917,0.8875,0.8875,0.8875,0.8509931506849285,0.37326435110261413,0.8550972222222241,0.36665536129454745
1891,9,100,0.36272934964387726,0.85,0.85,0.85,0.8509657534246546,0.3732092999272243,0.8551944444444461,0.36661654832779716
1892,9,101,0.3627655494446848,0.855,0.855,0.855,0.8509965753424629,0.3731543062692426,0.8552083333333351,0.36657827470246124
1893,9,102,0.36312168605119277,0.8525,0.8525,0.8525,0.8510719178082162,0.37309901479833735,0.8551250000000017,0.3665430648308149
1894,9,103,0.36290625912638813,0.8625,0.8625,0.8625,0.8511232876712298,0.37304347368701596,0.8552777777777795,0.36650404240011863
1895,9,104,0.3634806650025504,0.8475,0.8475,0.8475,0.8511335616438325,0.372988662707949,0.8551805555555572,0.36646859846056395
1896,9,105,0.3635569914894284,0.84,0.8399999999999999,0.84,0.8511712328767093,0.37293327526150943,0.8551666666666683,0.36643171411115427
1897,9,106,0.36322436293708943,0.8575,0.8575,0.8575,0.8512157534246543,0.3728771452893796,0.855194444444446,0.36639371963040024
1898,9,107,0.36269135414450254,0.89,0.89,0.89,0.8512602739725996,0.37282061644888237,0.8554722222222237,0.36635203647427933
1899,9,108,0.36259022573812294,0.8725,0.8725,0.8725,0.8512808219178051,0.37276423219917,0.855569444444446,0.36631046526961814
1900,9,109,0.3630442134358666,0.82,0.82,0.82,0.8512260273972572,0.372708635824239,0.8553055555555571,0.3662716979197567
1901,9,110,0.36326691642537845,0.84,0.8399999999999999,0.84,0.8512328767123256,0.3726531763367568,0.8553055555555571,0.3662335476215381
1902,9,111,0.3630844320037535,0.855,0.855,0.855,0.8512089041095859,0.372597882783311,0.8553611111111126,0.3661940558485258
1903,9,112,0.3632938940968134,0.86,0.8599999999999999,0.86,0.85123630136986,0.37254297946675713,0.8555277777777792,0.3661531935544729
